product_id,product_name,variant_sku,variant_name,technical_spec,product_type,unit,stock,pack_quantity,availability,ashkan_url,price,image_1,image_2,product_pack_quantity,variant_count,total_product_stock,product_availability,main_image,display_status
2393010,لیوان بهنوش عکس دار کوچک,239301010,لیوان بهنوش عکس دار کوچک الوان,12,محصول نهایی,بسته,62.0,192.0,موجود,https://ashkanplastic.com/product/2393010/,,,,192.0,1,62.0,موجود,,فعال
2390610,لیوان دسته دار گلبرگ,239061010,لیوان دسته دار گلبرگ الوان,12,محصول نهایی,بسته,282.0,96.0,موجود,https://ashkanplastic.com/product/2390610/,,,,96.0,1,282.0,موجود,,فعال
2390810,لیوان 2رنگ توپی,239081010,لیوان دو رنگ توپی الوان,12,محصول نهایی,بسته,79.0,96.0,موجود,https://ashkanplastic.com/product/2390810/,,,,96.0,1,79.0,موجود,,فعال
2310810,لیوان 2رنگ سیب,231081010,لیوان دو رنگ سیب الوان,12,محصول نهایی,بسته,113.0,96.0,موجود,https://ashkanplastic.com/product/2310810/,,,,96.0,2,113.0,موجود,,فعال
2387610,لیوان کودک هما,238761010,لیوان کودک هما الوان - 192عددی,نصیری,محصول نهایی,کارتن,27.0,192.0,موجود,https://ashkanplastic.com/product/2387610/,,,,192.0,1,27.0,موجود,,فعال
2390020,لیوان موج مدل 103 شفاف,239002010,لیوان موج مدل 103- الوان,اشکان- اشکان,محصول نهایی,کارتن,155.0,48.0,موجود,https://ashkanplastic.com/product/2390020/,,,,48.0,3,407.0,موجود,,فعال
2390020,لیوان موج مدل 103 شفاف,239002008,لیوان موج مدل 103- شفاف,اشکان- اشکان,محصول نهایی,کارتن,252.0,48.0,موجود,https://ashkanplastic.com/product/2390020/,,,,48.0,3,407.0,موجود,,فعال
2390020,لیوان موج مدل 103 شفاف,239002025,لیوان موج مدل 103- عسلی,اشکان / اشکان,محصول نهایی,کارتن,0.0,48.0,ناموجود,https://ashkanplastic.com/product/2390020/,,,,48.0,3,407.0,موجود,,فعال
2395050,لیوان نی دار بزرگ بهنوش الوان,239505010,لیوان نی دار بزرگ بهنوش الوان,12,محصول نهایی,بسته,0.0,,ناموجود,https://ashkanplastic.com/product/2395050/,,,,,1,0.0,ناموجود,,فعال
2390050,لیوان نی دار بهنوش بزرگ,239005003,لیوان نی دار بزرگ بهنوش سفید,12,محصول نهایی,بسته,49.0,48.0,موجود,https://ashkanplastic.com/product/2390050/,,,,48.0,1,49.0,موجود,,فعال
2394050,لیوان نی دار بهنوش متوسط,239405003,لیوان نی دار متوسط بهنوش -سفید,12,محصول نهایی,کارتن,48.0,48.0,موجود,https://ashkanplastic.com/product/2394050/,,,,48.0,2,48.0,موجود,,فعال
2394050,لیوان نی دار بهنوش متوسط,239405010,لیوان نی دار متوسط بهنوش الوان,12,محصول نهایی,کارتن,0.0,48.0,ناموجود,https://ashkanplastic.com/product/2394050/,,,,48.0,2,48.0,موجود,,فعال
4710010,مگس کش سیب,471001010,مگس کش سیب الوان,12,محصول نهایی,بسته,165.0,192.0,موجود,https://ashkanplastic.com/product/4710010/,,,,192.0,1,165.0,موجود,,فعال
4540020,نظم دهنده دایانا,454002010,نظم دهنده دایانا الوان,12,محصول نهایی,بسته,94.0,24.0,موجود,https://ashkanplastic.com/product/4540020/,,,,24.0,1,94.0,موجود,,فعال
8620010,نمکپاش چند منظوره اشکان,862001010,نمکپاش چند منظوره اشکان الوان,12,محصول نهایی,بسته,73.0,192.0,موجود,https://ashkanplastic.com/product/8620010/,,,,192.0,1,73.0,موجود,,فعال
8690010,نمکدان الماس,869001010,نمکدان الماس الوان,12,محصول نهایی,بسته,180.0,384.0,موجود,https://ashkanplastic.com/product/8690010/,,,,384.0,1,180.0,موجود,,فعال
8680010,نمکدان هما,868001010,نمکدان هما الوان,12,محصول نهایی,بسته,142.0,180.0,موجود,https://ashkanplastic.com/product/8680010/,,,,180.0,2,142.0,موجود,,فعال
