sku_variant,product_name,technical_spec,product_type,unit,opening_balance_previous,period_opening,inbound,outbound_or_value,balance,pack_quantity,product_code,product_url
362001009,جااسکاجی دو قلوی اشکان وانیلی,12,محصول نهایی,بسته,0,0,0.0625,71000,0.0625,48,3620010,https://ashkanplastic.com/product/3620010/
329001108,جابرنجی 10 کیلوگرمی نیکا,12,محصول نهایی,کارتن,0,369,734.166667,542500,109,6,3290011,https://ashkanplastic.com/product/3290011/
329001008,جابرنجی 5 کیلوگرمی نیکا,12,محصول نهایی,کارتن,0,106,768.916667,369000,183,12,3290010,https://ashkanplastic.com/product/3290010/
383091010,جاپودری اپل تاپ شفاف درب الوان,12,محصول نهایی,بسته,0,128,372.027778,91000,218,36,3830910,https://ashkanplastic.com/product/3830910/
382091010,جاپودری اشکان شفاف الوان,12,محصول نهایی,بسته,0,158,0.041667,127000,48,24,3820910,https://ashkanplastic.com/product/3820910/
269301120,جاحبوبات پارمیس1,12,محصول نهایی,کارتن,0,0,291,73000,44,48,2693011,https://ashkanplastic.com/product/2693011/
269401120,جاحبوبات پارمیس2,12,محصول نهایی,کارتن,0,0,352,93000,128,36,2694011,https://ashkanplastic.com/product/2694011/
269501120,جاحبوبات پارمیس3,12,محصول نهایی,کارتن,0,0,382,110000,8,24,2695011,https://ashkanplastic.com/product/2695011/
269501010,جاحبوباتی بزرگ نیکا درب الوان,12,محصول نهایی,کارتن,0,545,70.111111,107500,395,18,2695010,https://ashkanplastic.com/product/2695010/
269301010,جاحبوباتی کوچک نیکا درب الوان,12,محصول نهایی,کارتن,0,235,173.138889,71500,167,36,2693010,https://ashkanplastic.com/product/2693010/
263011010,جاحبوباتی گرد اپل تاپ 2 دوعددی الوان,12,محصول نهایی,بسته,0,0,0.083333,116500,0,24,2630110,https://ashkanplastic.com/product/2630110/
269401010,جاحبوباتی متوسط نیکا درب الوان,12,محصول نهایی,کارتن,0,259,80.055556,91000,171,18,2694010,https://ashkanplastic.com/product/2694010/
269554008,جاحبوباتی مربع درب چوبی دلسا بزرگ,12,محصول نهایی,کارتن,0,1,0.111111,,1,,2695540,https://ashkanplastic.com/product/2695540/
499801010,جارو دستی تکی الوان نپتون,-,محصول نهایی,بسته,0,73,416.020833,94500,0.625,48,4998010,https://ashkanplastic.com/product/4998010/
499801902,جارو دستی تکی نپتون طوسی,12,محصول نهایی,بسته,0,0,0.016667,,0,,4998019,https://ashkanplastic.com/product/4998019/
499701001,جارو دستی دو قلو نپتون صورتی,12,محصول نهایی,بسته,0,0,0.016667,,0,,4997010,https://ashkanplastic.com/product/4997010/
499701002,جارو دستی دو قلو نپتون طوسی,12,محصول نهایی,بسته,0,0,0.016667,,0,,4997010,https://ashkanplastic.com/product/4997010/
499701110,جارو دستی دوقلو  الوان نپتون,12,محصول نهایی,بسته,0,37,985.027778,116500,0,36,4997011,https://ashkanplastic.com/product/4997011/
403001010,جاقاشقی اپل تاپ الوان,12,محصول نهایی,بسته,0,39,299,109000,169,24,4030010,https://ashkanplastic.com/product/4030010/
409003010,جاقاشقی چند منظوره نیکا الوان,12,محصول نهایی,کارتن,0,0,568,89500,206,36,4090030,https://ashkanplastic.com/product/4090030/
409003002,جاقاشقی چند منظوره نیکا طوسی,12,محصول نهایی,کارتن,0,158,0,89500,0,36,4090030,https://ashkanplastic.com/product/4090030/
409003007,جاقاشقی چند منظوره نیکا کرپ,12,محصول نهایی,کارتن,0,4,0,89500,0,36,4090030,https://ashkanplastic.com/product/4090030/
409003009,جاقاشقی چند منظوره نیکا وانیلی,12,محصول نهایی,کارتن,0,47,0,89500,0,36,4090030,https://ashkanplastic.com/product/4090030/
409081010,جاقاشقی دو رنگ حصیر بافت الوان,12,محصول نهایی,کارتن,0,0,960,125000,147,18,4090810,https://ashkanplastic.com/product/4090810/
409081003,جاقاشقی دو رنگ حصیر بافت سفید,12,محصول نهایی,کارتن,0,156,0,125000,53,18,4090810,https://ashkanplastic.com/product/4090810/
409081002,جاقاشقی دو رنگ حصیر بافت طوسی,12,محصول نهایی,کارتن,0,0,102.444444,125000,0,18,4090810,https://ashkanplastic.com/product/4090810/
409081017,جاقاشقی دو رنگ حصیر بافت موکا,12,محصول نهایی,کارتن,0,0,66,125000,0,18,4090810,https://ashkanplastic.com/product/4090810/
409081009,جاقاشقی دو رنگ حصیر بافت وانیلی,12,محصول نهایی,کارتن,0,55,55,125000,0,18,4090810,https://ashkanplastic.com/product/4090810/
409002010,جاقاشقی کابینتی پارمیس الوان,12,محصول نهایی,کارتن,0,0,419,205000,161,8,4090020,https://ashkanplastic.com/product/4090020/
409002002,جاقاشقی کابینتی پارمیس طوسی,12,محصول نهایی,کارتن,0,31,61.125,205000,0,8,4090020,https://ashkanplastic.com/product/4090020/
409002007,جاقاشقی کابینتی پارمیس کرپ,12,محصول نهایی,کارتن,0,1,0,205000,1,8,4090020,https://ashkanplastic.com/product/4090020/
409002017,جاقاشقی کابینتی پارمیس موکا,12,محصول نهایی,کارتن,0,64,45.25,205000,0,8,4090020,https://ashkanplastic.com/product/4090020/
